site_id,nws_id,name,drainage_area,years_of_record,action_stage,minor_stage,moderate_stage,major_stage,stage_unit,vertical_datum,nws_datum,latitude,longitude,hydrologic_unit_code,series_id
USGS-02016500,LIRV2,"JAMES RIVER AT LICK RUN, VA",1371.0,101.5,12.0,16.0,22.0,25.0,ft,NAVD88,NAVD88,37.7737400881864,-79.7844925341322,020802010901,ef6e0a0cac864a06bd89d02532a5779b
USGS-01629500,SFSV2,"S F SHENANDOAH RIVER NEAR LURAY, VA",1372.0,101.5,13.0,14.0,20.0,25.0,ft,NAVD88,NGVD29,38.6462304983622,-78.5347328699342,020700050905,14b2321f2ee242ad910841a4badfc636
USGS-02047000,SEBV2,"NOTTOWAY RIVER NEAR SEBRELL, VA",1441.0,85.0,14.0,16.0,18.0,21.0,ft,NAVD88,NAVD88,36.7704276281019,-77.1660778265545,030102011201,56f3837c678d498cbab1633fcd728dcb
USGS-01668000,FDBV2,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",1595.0,119.0,10.0,13.0,16.0,23.0,ft,NAVD88,NAVD88,38.308461783556,-77.5291526801222,020801040101,d94d3f647e3b4597b0887e8af447a666
USGS-01631000,FROV2,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",1634.0,96.0,8.0,12.0,14.0,18.0,ft,NAVD88,NAVD88,38.9140005900266,-78.2108338816366,020700051004,c69de21d9887468fa84f9acf644fec38
USGS-02075045,DVLV2,"DAN RIVER AT STP NEAR DANVILLE, VA",2116.0,31.0,18.0,21.0,26.0,32.0,ft,NAVD88,NAVD88,36.562638891525,-79.369743961898,030101040102,2e2acf6d12f34007a7bae95f579a30df
USGS-03168000,ALSV2,"NEW RIVER AT ALLISONIA, VA",2212.0,97.0,7.0,8.0,13.0,17.0,ft,NAVD88,NAVD88,36.9376223536548,-80.7456256574902,050500011502,c40fa35560bb4b0ca935f5b0a139b81e
USGS-02062500,BROV2,"ROANOKE (STAUNTON) RIVER AT BROOKNEAL, VA",2404.0,103.0,20.0,23.0,27.0,30.0,ft,NAVD88,NAVD88,37.0394444444444,-78.9457222222222,030101020105,e0faa2607fa84a49a1d567ba54c93958
USGS-02075500,PCEV2,"DAN RIVER AT PACES, VA",2587.0,76.0,20.0,22.0,29.0,35.0,ft,NAVD88,NAVD88,36.6423605644804,-79.089458997669,030101040304,1ce2dbebd4a14d89ba128be9dc50989f
USGS-03171000,RDFV2,"NEW RIVER AT RADFORD, VA",2767.0,119.0,12.0,14.0,16.0,20.0,ft,NAVD88,,37.141792544949,-80.5692249926745,050500011801,c48bc712c5b34f92a2731e9e15537eff
USGS-02066000,RNDV2,"ROANOKE (STAUNTON) RIVER AT RANDOLPH, VA",2966.0,125.0,21.0,24.0,30.0,34.0,ft,NAVD88,NAVD88,36.915141892783,-78.7408384383984,030101020405,7c6af099568941f6be059aaf0e4cacb1
USGS-02025500,HRKV2,"JAMES RIVER AT HOLCOMB ROCK, VA",3256.0,99.5,18.0,22.0,24.0,28.0,ft,NAVD88,NAVD88,37.501250812935,-79.2625287364124,020802030301,7e42059d843840538385165c571fbab3
USGS-02026000,BECV2,"JAMES RIVER AT BENT CREEK, VA",3649.0,101.5,15.0,16.0,18.0,22.0,ft,NAVD88,NAVD88,37.5362538958522,-78.8294611036567,020802030802,d3dd74e70064419997faef845f4432ef
USGS-02029000,SVEV2,"JAMES RIVER AT SCOTTSVILLE, VA",4581.0,102.0,11.0,20.0,22.0,24.0,ft,NAVD88,NAVD88,37.7973651308903,-78.4913980436332,020802031104,776fbdce9ffe43cab7d73b6f96f8c0c2
USGS-02035000,CARV2,"JAMES RIVER AT CARTERSVILLE, VA",6252.0,127.7,15.0,20.0,23.0,26.4,ft,NAVD88,NAVD88,37.670979573031,-78.0858327652848,020802050403,82f0651868514c99aca948e412e3c1db
USGS-02037500,RMDV2,"JAMES RIVER NEAR RICHMOND, VA",6753.0,92.0,9.0,12.0,15.0,22.0,ft,NAVD88,NAVD88,37.5632022122318,-77.5469314070127,020802050606,3995ee5508334084af0a1325f951eadf
